bath,balcony,price,total_sqft_float,bhk,price_per_sqft
2.0,1.0,42.47,1062.0,2,3999.0583804143125
2.0,1.0,39.33,1035.0,2,3800.0
2.0,1.0,40.9,909.0,2,4499.4499449945
2.0,1.0,43.55,1089.0,2,3999.0817263544536
2.0,1.0,43.55,1089.0,2,3999.0817263544536
2.0,3.0,62.0,1513.0,2,4097.818902842036
2.0,1.0,59.0,1298.0,2,4545.454545454545
2.0,0.0,44.0,1006.0,2,4373.75745526839
2.0,1.0,48.0,1046.0,2,4588.910133843212
3.0,1.0,80.0,1800.0,3,4444.444444444444
4.0,1.0,90.0,1900.0,3,4736.8421052631575
2.0,2.0,65.0,1605.0,3,4049.8442367601247
2.0,1.0,54.71,1368.0,3,3999.2690058479534
2.0,2.0,48.95,1224.0,3,3999.1830065359477
3.0,2.0,165.0,3300.0,3,5000.0
2.0,2.0,51.83,1296.0,3,3999.2283950617284
2.0,3.0,50.75,1269.0,3,3999.211977935382
2.0,3.0,55.0,1500.0,3,3666.6666666666665
4.0,3.0,92.0,2100.0,4,4380.952380952381
4.0,2.0,115.0,2600.0,4,4423.076923076923
1.0,0.0,233.0,1410.0,2,16524.822695035462
2.0,1.0,135.0,1165.0,2,11587.982832618025
3.0,2.0,300.0,1846.0,3,16251.354279523293
1.0,0.0,150.0,700.0,1,21428.571428571428
4.0,1.0,240.0,1440.0,4,16666.666666666668
2.0,1.0,50.0,1005.0,2,4975.124378109453
2.0,1.0,45.0,1035.0,2,4347.826086956522
2.0,1.0,56.0,1164.0,2,4810.996563573884
2.0,1.0,50.0,1127.0,2,4436.557231588287
2.0,1.0,43.0,1005.0,2,4278.606965174129
2.0,0.0,37.0,835.0,2,4431.137724550898
2.0,2.0,71.0,1466.0,2,4843.110504774898
2.0,1.0,52.36,1073.0,2,4879.77632805219
2.0,2.0,45.0,890.0,2,5056.179775280899
2.0,2.0,69.0,1331.95,2,5180.374638687638
2.0,2.0,85.0,1890.0,3,4497.354497354498
2.0,1.5843757375501535,93.0,1890.0,3,4920.6349206349205
3.0,2.0,88.0,1780.0,3,4943.820224719101
2.0,2.0,58.0,1300.0,3,4461.538461538462
4.0,3.0,290.0,5000.0,4,5800.0
4.0,2.0,80.0,1900.0,4,4210.526315789473
2.0,1.0,35.0,600.0,1,5833.333333333333
2.0,0.0,85.0,1500.0,1,5666.666666666667
2.0,2.0,65.0,1199.0,2,5421.184320266889
2.0,2.0,55.0,1080.0,2,5092.592592592592
2.0,1.0,60.0,1308.0,2,4587.155963302752
2.0,1.0,55.0,1005.0,2,5472.636815920398
3.0,1.0,90.0,2000.0,3,4500.0
6.0,3.0,145.0,3000.0,7,4833.333333333333
2.0,1.0,46.79,1040.0,2,4499.038461538462
2.0,1.0,48.38,1075.0,2,4500.46511627907
2.0,2.0,85.0,1450.0,3,5862.068965517241
3.0,0.0,110.0,1936.0,3,5681.818181818182
2.0,2.0,80.0,1650.0,3,4848.484848484848
2.0,3.0,41.94,1180.0,2,3554.237288135593
2.0,1.0,38.45,1100.0,2,3495.454545454546
2.0,1.0,38.49,1100.0,2,3499.090909090909
2.0,2.0,38.5,1100.0,2,3500.0
2.0,3.0,50.0,1310.0,3,3816.793893129771
2.0,2.0,30.0,765.0,1,3921.5686274509803
2.0,1.0,40.39,985.0,2,4100.507614213198
2.0,1.0,32.54,795.0,2,4093.0817610062895
2.0,1.0,41.82,1020.0,2,4100.0
2.0,1.0,40.39,985.0,2,4100.507614213198
2.0,1.0,32.54,795.0,2,4093.0817610062895
2.0,1.0,46.33,1130.0,2,4100.0
1.0,1.0,32.6,795.0,2,4100.62893081761
2.0,1.0,41.0,1000.0,2,4100.0
2.0,1.0,40.8,995.0,2,4100.5025125628135
2.0,1.0,40.8,1020.0,2,3999.9999999999995
2.0,1.0,45.0,1260.0,3,3571.4285714285716
6.0,0.0,81.0,2500.0,6,3240.0
1.0,1.0,185.0,1140.0,2,16228.070175438597
2.0,1.0,50.0,1270.0,2,3937.0078740157483
3.0,2.0,55.0,1495.0,3,3678.9297658862874
1.0,0.0,41.0,1260.0,1,3253.968253968254
1.0,1.0,41.0,1260.0,1,3253.968253968254
2.0,1.0,65.0,1201.0,2,5412.156536219817
3.0,2.0,120.0,1925.0,3,6233.766233766234
1.0,0.0,72.0,800.0,1,9000.0
1.0,0.0,120.0,1350.0,3,8888.888888888889
2.0,1.0,58.5,1100.0,2,5318.181818181818
2.0,0.0,51.0,1053.0,2,4843.304843304843
3.0,1.0,113.0,2250.0,3,5022.222222222223
2.0,1.0,47.8,967.0,2,4943.1230610134435
2.0,1.0,54.0,1070.0,2,5046.728971962617
2.0,1.5843757375501535,58.0,1280.0,2,4531.25
2.0,1.0,60.0,1280.0,2,4687.5
2.0,1.0,60.0,1280.0,2,4687.5
2.0,1.0,55.0,1126.0,2,4884.547069271758
2.0,1.0,52.0,1113.0,2,4672.057502246182
2.0,2.0,48.0,1100.0,2,4363.636363636364
2.0,2.0,66.0,1300.0,2,5076.923076923077
2.0,1.0,45.0,900.0,2,5000.0
3.0,3.0,85.1,1662.0,3,5120.336943441636
2.0,2.0,75.0,1410.0,3,5319.148936170212
2.0,2.0,80.0,1410.0,3,5673.758865248227
3.0,2.0,85.0,1662.0,3,5114.320096269555
3.0,2.0,85.5,1662.0,3,5144.404332129964
3.0,1.5843757375501535,95.0,1666.0,3,5702.280912364946
3.0,1.5843757375501535,90.0,1575.0,3,5714.285714285715
2.0,2.0,75.0,1430.0,3,5244.755244755244
2.0,3.0,73.0,1419.0,3,5144.46793516561
3.0,2.0,85.0,1690.0,3,5029.585798816568
4.0,2.0,93.0,1897.0,3,4902.477596204533
3.0,3.0,98.0,1884.0,3,5201.698513800425
3.0,2.0,85.0,1690.0,3,5029.585798816568
3.0,1.5843757375501535,90.0,1662.0,3,5415.162454873646
2.0,2.0,75.0,1420.0,3,5281.69014084507
4.0,2.0,100.0,1890.0,3,5291.005291005291
3.0,2.0,85.0,1690.0,3,5029.585798816568
4.0,2.0,95.0,1820.0,3,5219.780219780219
3.0,2.0,102.0,1896.0,3,5379.7468354430375
2.0,2.0,73.0,1421.0,3,5137.227304714989
4.0,2.0,95.0,1893.0,3,5018.489170628632
2.0,2.0,52.0,1427.0,2,3644.008409250175
2.0,2.0,49.0,1280.0,3,3828.125
4.0,3.0,170.0,4000.0,4,4250.0
1.0,1.0,40.0,595.0,1,6722.689075630252
2.0,1.0,50.0,1230.0,2,4065.040650406504
2.0,2.0,44.0,1145.0,2,3842.7947598253277
3.0,2.0,67.23,1519.0,3,4425.938117182357
3.0,2.0,70.39,1595.0,3,4413.166144200627
2.0,2.0,60.0,1205.0,2,4979.253112033195
2.0,1.0,75.0,1380.0,2,5434.782608695652
2.0,1.0,58.0,1320.0,3,4393.939393939394
6.0,0.0,130.0,2400.0,6,5416.666666666667
2.0,1.5843757375501535,43.79,1240.0,2,3531.451612903226
2.0,2.0,38.0,1050.0,2,3619.0476190476193
1.0,1.0,20.0,530.0,1,3773.5849056603774
1.0,1.0,15.0,425.0,1,3529.4117647058824
2.0,1.0,55.0,975.0,2,5641.025641025641
3.0,1.0,61.0,1355.0,3,4501.845018450184
1.0,2.0,43.82,770.0,1,5690.909090909091
2.0,2.0,66.25,1250.0,2,5300.0
2.0,1.0,79.0,1332.0,2,5930.930930930931
2.0,2.0,66.25,1230.0,2,5386.178861788618
2.0,1.0,77.0,1351.0,2,5699.481865284974
2.0,2.0,80.0,1303.0,2,6139.677666922486
2.0,1.0,58.5,1060.0,2,5518.867924528302
3.0,3.0,110.0,1800.0,3,6111.111111111111
3.0,3.0,100.0,1650.0,3,6060.606060606061
4.0,2.0,149.0,2550.0,4,5843.137254901961
4.0,1.5843757375501535,142.0,2750.0,4,5163.636363636364
1.0,1.0,142.0,1463.0,2,9706.083390293916
3.0,1.0,190.0,1910.0,3,9947.643979057591
2.0,2.0,90.0,1424.0,2,6320.224719101124
2.0,2.0,90.0,1424.0,2,6320.224719101124
2.0,2.0,86.0,1367.0,2,6291.148500365764
2.0,1.0,94.0,1425.0,2,6596.491228070176
4.0,2.0,130.0,1935.0,3,6718.3462532299745
3.0,2.0,120.0,1862.0,3,6444.68313641246
4.0,2.0,126.0,1936.0,3,6508.264462809917
3.0,2.0,119.0,1862.0,3,6390.977443609023
3.0,1.0,120.0,1856.0,3,6465.517241379311
4.0,2.0,120.0,1850.0,3,6486.486486486487
4.0,2.0,120.0,1950.0,3,6153.846153846154
4.0,3.0,129.0,1921.0,3,6715.252472670484
4.0,2.0,121.0,1920.0,3,6302.083333333333
4.0,2.0,125.0,1935.0,3,6459.948320413437
4.0,2.0,122.0,1852.0,3,6587.473002159827
4.0,2.0,120.0,1950.0,3,6153.846153846154
3.0,2.0,125.0,1852.0,3,6749.460043196545
4.0,2.0,121.0,1850.0,3,6540.540540540541
4.0,2.0,150.0,2395.0,3,6263.048016701461
4.0,2.0,290.0,3530.0,4,8215.297450424929
4.0,3.0,255.0,3565.0,4,7152.875175315568
2.0,2.0,83.0,1175.0,2,7063.829787234043
3.0,2.0,100.0,1605.0,3,6230.529595015576
2.0,1.0,80.0,1300.0,3,6153.846153846154
3.0,2.0,88.0,1760.0,3,5000.0
6.0,3.0,150.0,4250.0,6,3529.4117647058824
1.0,1.0,19.5,485.0,1,4020.618556701031
2.0,1.0,40.0,900.0,2,4444.444444444444
2.0,2.0,55.0,1200.0,2,4583.333333333333
2.0,1.0,45.0,924.0,2,4870.12987012987
2.0,1.0,55.0,1200.0,2,4583.333333333333
2.0,2.0,55.0,1200.0,2,4583.333333333333
2.0,2.0,50.0,1190.0,2,4201.680672268908
2.0,1.0,65.0,1202.0,2,5407.65391014975
2.0,1.0,75.0,1340.0,2,5597.014925373134
2.0,3.0,63.0,1350.0,3,4666.666666666667
3.0,2.0,77.0,1700.0,3,4529.411764705882
2.0,1.0,85.0,1450.0,3,5862.068965517241
4.0,0.0,175.0,2650.0,3,6603.773584905661
2.0,1.0,90.0,1450.0,3,6206.896551724138
2.0,1.0,67.5,1350.0,2,5000.0
2.0,1.0,51.0,1000.0,2,5100.0
2.0,2.0,55.0,1060.0,2,5188.679245283019
2.0,3.0,55.0,1135.0,2,4845.814977973569
3.0,1.0,420.0,3515.0,3,11948.790896159317
2.0,0.0,70.0,1200.0,2,5833.333333333333
3.0,3.0,125.0,2010.0,3,6218.905472636816
2.0,1.0,43.76,1167.0,2,3749.7857754927163
2.0,1.0,42.79,1141.0,2,3750.219106047327
2.0,1.0,58.0,1200.0,2,4833.333333333333
2.0,1.0,43.1,1151.0,2,3744.5699391833186
2.0,1.0,42.75,1141.0,2,3746.7134092900965
2.0,1.0,42.9,1151.0,2,3727.193744569939
2.0,2.0,45.0,1250.0,2,3600.0
2.0,1.0,43.16,1151.0,2,3749.7827975673326
2.0,0.0,58.0,1200.0,2,4833.333333333333
2.0,1.0,50.0,1200.0,2,4166.666666666667
2.0,1.0,50.0,1141.0,2,4382.120946538124
3.0,2.0,59.1,1576.0,3,3750.0
3.0,2.0,58.0,1576.0,3,3680.203045685279
3.0,2.0,58.7,1576.0,3,3724.6192893401017
4.0,0.0,90.0,1749.0,4,5145.797598627787
2.0,2.0,37.0,1200.0,2,3083.3333333333335
3.0,2.0,77.0,1600.0,3,4812.5
2.0,1.0,63.0,1495.0,3,4214.046822742475
1.0,1.0,14.0,500.0,1,2800.0
2.0,2.0,14.0,500.0,1,2800.0
1.0,1.0,14.0,500.0,1,2800.0
1.0,1.0,14.0,500.0,1,2800.0
2.0,2.0,31.5,1100.0,2,2863.6363636363635
2.0,1.0,26.0,908.0,2,2863.4361233480176
2.0,1.0,29.7,1000.0,2,2970.0
2.0,1.0,25.99,850.0,2,3057.6470588235293
2.0,1.0,25.26,902.0,2,2800.4434589800444
2.0,1.0,25.5,810.0,2,3148.1481481481483
2.0,1.0,27.0,890.0,2,3033.7078651685392
2.0,1.0,36.0,1200.0,2,3000.0
2.0,2.0,25.0,902.0,2,2771.6186252771618
2.0,1.0,25.99,930.0,2,2794.6236559139784
3.0,1.0,42.0,1319.0,3,3184.230477634572
2.0,1.0,45.9,1016.0,2,4517.716535433071
2.0,2.0,45.0,1050.0,2,4285.714285714285
4.0,3.0,235.0,2200.0,4,10681.818181818182
1.0,1.0,11.5,400.0,1,2875.0
1.0,1.0,15.0,456.0,1,3289.4736842105262
1.0,1.0,12.5,420.0,1,2976.190476190476
1.0,1.0,36.0,1200.0,2,3000.0
1.0,1.0,36.0,1200.0,2,3000.0
2.0,2.0,38.3,1035.0,2,3700.483091787439
2.0,1.0,36.1,1200.0,2,3008.3333333333335
1.0,1.0,36.0,1200.0,2,3000.0
2.0,2.0,28.0,766.0,2,3655.3524804177546
1.0,1.0,36.0,1200.0,2,3000.0
1.0,1.0,36.0,1200.0,2,3000.0
1.0,1.0,36.0,1200.0,2,3000.0
1.0,1.0,36.0,1200.0,2,3000.0
2.0,1.0,36.1,1200.0,2,3008.3333333333335
2.0,1.0,36.1,1200.0,2,3008.3333333333335
3.0,2.0,45.0,1150.0,3,3913.0434782608695
4.0,0.0,95.0,2400.0,3,3958.3333333333335
5.0,1.5843757375501535,140.0,2400.0,4,5833.333333333333
2.0,1.0,185.0,1530.0,2,12091.503267973856
2.0,2.0,39.0,1070.0,2,3644.8598130841124
2.0,2.0,37.0,1070.0,2,3457.9439252336447
2.0,0.0,25.0,710.0,2,3521.1267605633802
2.0,0.0,32.0,950.0,2,3368.4210526315787
2.0,0.0,30.0,950.0,2,3157.8947368421054
2.0,2.0,45.0,1280.0,3,3515.625
2.0,1.0,37.72,1347.0,3,2800.2969561989607
3.0,1.0,87.54,1843.0,3,4749.864351600651
4.0,2.0,86.0,1850.0,4,4648.648648648648
4.0,2.0,55.0,1800.0,4,3055.5555555555557
2.0,0.0,100.0,1348.0,2,7418.39762611276
2.0,1.0,50.0,1070.0,2,4672.897196261682
2.0,2.0,50.0,1105.0,2,4524.886877828054
1.0,0.0,22.0,540.0,1,4074.074074074074
2.0,2.0,48.0,1075.0,2,4465.116279069767
4.0,1.0,150.0,2400.0,4,6250.0
4.0,0.0,150.0,3500.0,4,4285.714285714285
3.0,1.0,100.0,1567.0,3,6381.620931716656
3.0,3.0,40.0,1250.0,3,3200.0
1.0,0.0,32.39,720.0,1,4498.611111111111
1.0,0.0,28.0,610.0,1,4590.163934426229
2.0,2.0,70.0,1224.0,2,5718.954248366013
3.0,2.0,95.0,1728.0,3,5497.685185185185
3.0,2.0,92.0,1732.46,3,5310.367916142364
3.0,2.0,95.0,1723.0,3,5513.6390017411495
3.0,2.0,92.0,1777.26,3,5176.507657855351
4.0,3.0,200.0,3198.0,4,6253.908692933083
4.0,2.0,160.0,2422.0,4,6606.110652353427
4.0,1.0,205.0,3200.0,4,6406.25
3.0,1.5843757375501535,140.0,2062.0,4,6789.524733268671
3.0,1.5843757375501535,140.0,2062.0,4,6789.524733268671
2.0,2.0,65.0,1350.0,3,4814.814814814815
3.0,2.0,110.0,1537.0,3,7156.79895901106
1.0,1.0,28.0,600.0,1,4666.666666666667
2.0,2.0,55.0,1190.0,2,4621.848739495798
2.0,2.0,55.0,1100.0,2,5000.0
2.0,2.0,60.0,1240.0,2,4838.709677419355
2.0,1.0,44.5,900.0,2,4944.444444444444
2.0,1.5843757375501535,95.0,1740.0,3,5459.770114942528
3.0,2.0,108.0,2072.0,3,5212.355212355213
6.0,2.0,142.0,2710.0,4,5239.852398523985
4.0,1.0,150.0,2400.0,4,6250.0
2.0,2.0,53.0,1000.0,2,5300.0
2.0,1.5843757375501535,53.0,1100.0,2,4818.181818181818
3.0,1.0,100.0,2050.0,4,4878.048780487805
5.0,2.0,2912.0,8321.0,4,34995.79377478668
7.0,1.5843757375501535,225.0,5100.0,6,4411.764705882353
2.0,3.0,65.0,1220.0,2,5327.868852459016
3.0,3.0,84.0,1640.0,3,5121.951219512195
2.0,2.0,42.0,936.0,2,4487.179487179487
2.0,2.0,43.0,936.0,2,4594.017094017094
1.0,1.0,62.0,834.0,1,7434.052757793765
2.0,2.0,38.0,1200.0,2,3166.6666666666665
2.0,2.0,55.0,1127.0,2,4880.212954747116
2.0,2.0,55.0,1125.0,2,4888.888888888889
